qry_id	Q0	doc_id          	rank	score	run_id
1     	Q0	30260724248870912	1   	0.808	1
1     	Q0	30198105513140224	2   	0.802	1
1     	Q0	33823403328671744	3   	0.761	1
1     	Q0	30236884051435520	4   	0.692	1
1     	Q0	29983478363717633	5   	0.684	1
1     	Q0	29993695927336960	6   	0.638	1
1     	Q0	30303184207478784	7   	0.623	1
1     	Q0	29978962599870465	8   	0.606	1
1     	Q0	30319208176820224	9   	0.595	1
1     	Q0	30587022246678528	10  	0.585	1
1     	Q0	32504175552102401	11  	0.574	1
1     	Q0	32158658863304705	12  	0.574	1
1     	Q0	30275282464153600	13  	0.569	1
1     	Q0	30025535761420289	14  	0.550	1
1     	Q0	29990282447552512	15  	0.537	1
1     	Q0	30022487840391168	16  	0.529	1
1     	Q0	30197610459435008	17  	0.527	1
1     	Q0	30581416408391680	18  	0.519	1
1     	Q0	30149086560657409	19  	0.519	1
1     	Q0	30051954050727936	20  	0.518	1
1     	Q0	30157835434201089	21  	0.495	1
1     	Q0	30317913206431744	22  	0.481	1
1     	Q0	30216589932503040	23  	0.473	1
1     	Q0	30244402504929280	24  	0.470	1
1     	Q0	29990983902961664	25  	0.459	1
1     	Q0	30371820393734144	26  	0.453	1
1     	Q0	32415024995631105	27  	0.446	1
1     	Q0	30360018473713664	28  	0.443	1
1     	Q0	30500781002063872	29  	0.441	1
1     	Q0	31510426927763456	30  	0.440	1
1     	Q0	29564786882646016	31  	0.437	1
1     	Q0	30254811135873024	32  	0.428	1
1     	Q0	29059262076420096	33  	0.428	1
1     	Q0	30003337843707905	34  	0.428	1
1     	Q0	29997693933719553	35  	0.423	1
1     	Q0	30300770037399552	36  	0.420	1
1     	Q0	30167063326629888	37  	0.415	1
1     	Q0	30505596528623616	38  	0.411	1
1     	Q0	30316304493707264	39  	0.408	1
1     	Q0	30236041789050880	40  	0.403	1
1     	Q0	30407444110778369	41  	0.398	1
1     	Q0	29486393336008704	42  	0.396	1
1     	Q0	34389878783348736	43  	0.394	1
1     	Q0	29552940691759104	44  	0.393	1
1     	Q0	30031146670628864	45  	0.391	1
1     	Q0	30016851715031040	46  	0.374	1
1     	Q0	30217175910318080	47  	0.369	1
1     	Q0	29533394589188096	48  	0.366	1
