qry_id	Q0	doc_id          	rank	score	run_id
1     	Q0	30236884051435520	1   	0.776	3
1     	Q0	30260724248870912	2   	0.723	3
1     	Q0	30198105513140224	3   	0.723	3
1     	Q0	29983478363717633	4   	0.699	3
1     	Q0	32504175552102401	5   	0.686	3
1     	Q0	32158658863304705	6   	0.686	3
1     	Q0	30325151543332864	7   	0.674	3
1     	Q0	30149086560657409	8   	0.673	3
1     	Q0	30244402504929280	9   	0.669	3
1     	Q0	30371820393734144	10  	0.662	3
1     	Q0	29993695927336960	11  	0.658	3
1     	Q0	30025535761420289	12  	0.648	3
1     	Q0	30303184207478784	13  	0.644	3
1     	Q0	30360018473713664	14  	0.638	3
1     	Q0	33044519750475776	15  	0.630	3
1     	Q0	30197610459435008	16  	0.629	3
1     	Q0	29996023250157568	17  	0.628	3
1     	Q0	29978962599870465	18  	0.628	3
1     	Q0	29990983902961664	19  	0.627	3
1     	Q0	30031146670628864	20  	0.626	3
1     	Q0	30167063326629888	21  	0.626	3
1     	Q0	30157835434201089	22  	0.625	3
1     	Q0	30317913206431744	23  	0.623	3
1     	Q0	30216589932503040	24  	0.623	3
1     	Q0	30500781002063872	25  	0.622	3
1     	Q0	34005858346209280	26  	0.621	3
1     	Q0	32415024995631105	27  	0.616	3
1     	Q0	33823403328671744	28  	0.615	3
1     	Q0	30003337843707905	29  	0.607	3
1     	Q0	30587022246678528	30  	0.607	3
1     	Q0	30316304493707264	31  	0.604	3
1     	Q0	29564786882646016	32  	0.602	3
1     	Q0	31201653633851393	33  	0.601	3
1     	Q0	30300770037399552	34  	0.600	3
1     	Q0	30423507347181568	35  	0.598	3
1     	Q0	33287402286088192	36  	0.598	3
1     	Q0	31510426927763456	37  	0.598	3
1     	Q0	33249624546480128	38  	0.598	3
1     	Q0	30223544906424320	39  	0.596	3
1     	Q0	30236041789050880	40  	0.595	3
1     	Q0	32494503902314496	41  	0.594	3
1     	Q0	32229379287289857	42  	0.593	3
1     	Q0	30769665240203264	43  	0.593	3
1     	Q0	31653291230232576	44  	0.592	3
1     	Q0	32985385306955776	45  	0.591	3
1     	Q0	30215123658350592	46  	0.591	3
1     	Q0	30254811135873024	47  	0.588	3
1     	Q0	30505596528623616	48  	0.587	3
1     	Q0	29556093059334145	49  	0.585	3
1     	Q0	29990282447552512	50  	0.585	3
1     	Q0	30190612238041088	51  	0.585	3
1     	Q0	30581416408391680	52  	0.584	3
1     	Q0	29263407261683712	53  	0.583	3
1     	Q0	30407444110778369	54  	0.583	3
1     	Q0	30258688501481472	55  	0.581	3
1     	Q0	30299217419304960	56  	0.581	3
1     	Q0	30016851715031040	57  	0.580	3
1     	Q0	31649109051965440	58  	0.578	3
1     	Q0	34524023287193601	59  	0.578	3
1     	Q0	33509236184973313	60  	0.577	3
1     	Q0	31850686425600000	61  	0.577	3
1     	Q0	34665469260599296	62  	0.577	3
1     	Q0	29533394589188096	63  	0.576	3
